"NDB_No"|"Seq"|"Amount"|"Msre_Desc"|"Gm_Wgt"|"Num_Data_Pts"|"Std_Dev"
"01169"|"4"|1.00|"cubic inch"|17.00||
"01169"|"5"|1.00|"slice (1 oz)"|28.00||
"01188"|"1"|2.00|"tbsp"|33.00||
"01189"|"1"|2.00|"tbsp"|35.00||
"01190"|"1"|1.00|"slice"|21.00||
"01191"|"1"|1.00|"oz"|28.00||
"01192"|"1"|1.00|"oz"|28.00||
"01193"|"1"|2.00|"tbsp"|31.00||
"01194"|"1"|2.00|"tbsp"|32.00||
"01195"|"1"|1.00|"container (8 oz)"|227.00||
"01196"|"1"|1.00|"container (4.4 oz)"|125.00||
"01197"|"1"|1.00|"container (8 oz)"|227.00||
"01198"|"1"|1.00|"container (8 oz)"|227.00||
"01202"|"1"|1.00|"cup"|250.00||
"01202"|"2"|1.00|"fl oz"|31.20||
"01202"|"3"|1.00|"quart"|1000.00||
"01203"|"1"|1.00|"8 oz container (8 oz)"|227.00||
"01203"|"2"|1.00|"cup (8 fl oz)"|245.00||
"01203"|"3"|1.00|"6 oz container (6 oz)"|170.00||
"01204"|"1"|1.00|"cup"|100.00||
"01204"|"2"|1.00|"tbsp"|5.00||
"01204"|"3"|1.00|"oz"|28.35||
"01208"|"1"|1.00|"cup, diced"|132.00||
"01208"|"2"|1.00|"cup, shredded"|113.00||
"01208"|"3"|1.00|"cubic inch"|17.00||
"01208"|"4"|1.00|"slice"|28.00||
"01208"|"5"|1.00|"package (6 oz)"|170.00||
"01211"|"1"|1.00|"cup"|244.00||
"01211"|"2"|1.00|"tbsp"|15.00||
"01211"|"3"|1.00|"fl oz"|30.50||
"01211"|"4"|1.00|"quart"|976.00||
"01212"|"1"|1.00|"cup"|128.00||
"01212"|"2"|0.25|"cup"|32.00||
"01214"|"1"|1.00|"cup"|252.00||
"01214"|"2"|1.00|"fl oz"|31.50||
"01214"|"3"|1.00|"can (13 oz)"|369.00||
"01214"|"4"|0.50|"cup"|126.00||
"01216"|"1"|1.00|"cup (8 fl oz)"|245.00||
"01216"|"2"|1.00|"container (4.4 oz)"|125.00||
"01216"|"3"|1.00|"container (5 oz)"|142.00||
"01216"|"4"|1.00|"container (6 oz)"|170.00||
"01216"|"5"|1.00|"container (8 oz)"|227.00||
"01216"|"6"|0.50|"container (4 oz)"|113.00||
"01217"|"1"|1.00|"cup (8 fl oz)"|245.00||
"01217"|"2"|1.00|"container (6 oz)"|170.00||
"01217"|"3"|1.00|"container (8 oz)"|227.00||
"01217"|"5"|1.00|"container, Dannon Sprinkl'ins (4.1 oz)"|116.00||
"01217"|"6"|0.50|"container (4 oz)"|113.00||
"01218"|"1"|1.00|"cup (8 fl oz)"|245.00||
"01218"|"2"|1.00|"container (4.4 oz)"|125.00||
"01218"|"3"|1.00|"container (6 oz)"|170.00||
"01218"|"4"|1.00|"container (8 oz)"|227.00||
"01219"|"1"|1.00|"8 oz container (8 oz)"|227.00||
"01219"|"2"|1.00|"cup (8 fl oz)"|245.00||
"01219"|"3"|1.00|"6 oz container (6 oz)"|170.00||
"01220"|"1"|1.00|"cup (8 fl oz)"|245.00||
"01220"|"2"|1.00|"container (8 oz)"|227.00||
"01220"|"3"|0.50|"container (4 oz)"|113.00||
"01223"|"1"|1.00|"tbsp"|11.00||
"01226"|"1"|1.00|"cup"|240.00||
"01226"|"2"|0.25|"cup"|60.00||
"02001"|"1"|1.00|"tbsp"|6.00||
"02001"|"2"|1.00|"tsp"|1.90||
"02002"|"1"|1.00|"tbsp, whole"|6.70||
"02002"|"2"|1.00|"tsp, whole"|2.10||
"02003"|"1"|1.00|"tsp, leaves"|0.70|10|0.03
